Date,Time,Open,High,Low,Adj Close,Volumne
2021.12.01,22:55,57113.51,57133.15,57013.35,57076.56,329
2021.12.01,23:00,57079.14,57163.75,56995.49,57068.75,385
2021.12.01,23:05,57078.58,57190.41,57071.6,57189.01,349
2021.12.01,23:10,57188.17,57253.02,57092.03,57141.83,348
2021.12.01,23:15,57148.7,57186.15,56999.84,57046.81,358
2021.12.01,23:20,57043.86,57130.04,57004.14,57101.54,351
2021.12.01,23:25,57099.99,57209.32,57080.15,57178.36,324
2021.12.01,23:30,57178.27,57188.98,57055.4,57182.56,339
2021.12.01,23:35,57184.41,57222.1,57108.09,57193.08,355
2021.12.01,23:40,57197.43,57224.67,57024.72,57098.14,330
2021.12.01,23:45,57095.29,57161.66,57016.46,57132.57,336
2021.12.01,23:50,57137.67,57254.15,57098.14,57139.39,342
2021.12.01,23:55,57142.98,57258.33,57092.04,57222.72,339
2021.12.02,0:00,57224.38,57226,56935.67,57016.56,384
2021.12.02,0:05,57014.04,57177.79,56931.98,56994.38,379
2021.12.02,0:10,56982.81,57140.14,56865.07,57068.78,384
2021.12.02,0:15,57072.83,57143.1,56879.24,56945.31,372
2021.12.02,0:20,56946.69,57182.92,56886.35,57161.47,356
2021.12.02,0:25,57162.93,57193.52,56982.18,56989.03,369
2021.12.02,0:30,56994.66,57182.92,56994.66,57029.13,369
2021.12.02,0:35,57032.59,57085.09,56790.39,56792.56,372
2021.12.02,0:40,56787.93,56823.05,56695.69,56809.53,359
2021.12.02,0:45,56809.76,56809.76,56673.05,56690.05,353
2021.12.02,0:50,56694.96,56820.36,56667.54,56820.36,351
2021.12.02,0:55,56822.37,57007.87,56820.44,57007.87,358
2021.12.02,1:00,57022.14,57027.66,56818.28,56880.73,345
2021.12.02,1:05,56878.21,56918.79,56749,56907.77,345
2021.12.02,1:10,56910.85,57085.47,56907.64,57085.47,365
2021.12.02,1:15,57086.62,57086.62,56958.38,57039.15,329
2021.12.02,1:20,57042.36,57060.33,56931.79,56956.66,318
2021.12.02,1:25,56956.99,57361.02,56932.38,57298.71,397
2021.12.02,1:30,57296.12,57368.59,57159.55,57191.27,383
2021.12.02,1:35,57187.13,57229.56,57089.04,57118.91,338
2021.12.02,1:40,57122.54,57209.03,57122.54,57135.92,324
2021.12.02,1:45,57137.11,57166.16,57061.62,57136.77,316
2021.12.02,1:50,57135.09,57183.56,57094.8,57143.33,310
2021.12.02,1:55,57144.31,57258.49,57103.21,57218.39,325
